"filename", "language", "JSON", "Python", "JavaScript", "Dotenv", "PostCSS", "Ini", "XML", "JavaScript JSX", "Markdown", "pip requirements", "HTML", "CSV", "comment", "blank", "total"
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\components\IncidentForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 17, 29, 344
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\components\IncidentMapWithFeatures.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 13, 29, 268
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\pages\IncidentDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 9, 20, 291
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\pages\IncidentMapPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 6, 19, 202
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\pages\IncidentsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 8, 16, 236
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\pages\IncidentsRealtimeFeed.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 6, 17, 178
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\pages\NearbyIncidentsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 5, 12, 202
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\predictions\PredictionUtils.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 48
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\predictions\PredictionsPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 10, 21, 230
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\predictions\api\predictionsApi.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\predictions\useIncidentPredictions.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 68
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\preparedness\api\preparednessApi.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\preparedness\components\CreateGuidelineForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 16, 34, 263
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\preparedness\pages\GuidelinesListPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 14, 23, 309
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\preparedness\pages\PersonalizedGuidelinesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 16, 25, 333
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\realtime\components\AutoRefreshComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 5, 33
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\realtime\components\RealtimeAlerts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 5, 58
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\realtime\useIncidentsRealtime.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35, 147
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\resourcePredictions\ResourceDemandForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 1, 14, 123
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\resourcePredictions\api\resourcePredictionApi.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\tasks\api\taskApi.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 52
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\tasks\components\IncidentTasksPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 25, 30, 372
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\tasks\pages\TasksPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 16, 36, 399
"c:\Users\jyoti\emergecy\safetrack-frontend\src\router\RequireAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 3, 13
"c:\Users\jyoti\emergecy\safetrack-frontend\src\router\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 23, 118
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\modules\test_auth_module.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 4, 32, 156
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\modules\test_dashboard_module.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 12, 16, 73
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\modules\test_emergency_module.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 2, 36, 165
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\modules\test_incident_module.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 8, 47
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\modules\test_prediction_module.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 4, 35
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\modules\test_realtime_module.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 8, 15, 84
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\modules\test_task_module.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 2, 43, 188
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\setup.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 33
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\utils\api.test.js", "JavaScript", 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 129, 476
"c:\Users\jyoti\emergecy\safetrack-frontend\src\tests\utils\helpers.test.js", "JavaScript", 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63, 374
"c:\Users\jyoti\emergecy\safetrack-frontend\src\utils\api.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 199
"c:\Users\jyoti\emergecy\safetrack-frontend\src\utils\fixLeafletIcons.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jyoti\emergecy\safetrack-frontend\src\utils\helpers.js", "JavaScript", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50, 275
"c:\Users\jyoti\emergecy\safetrack-frontend\tailwind.config.cjs", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 60
"c:\Users\jyoti\emergecy\safetrack-frontend\vite.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\jyoti\emergecy\safetrack-frontend\vitest.config.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\jyoti\emergecy\test_redis.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"Total", "-", 6998, 6671, 2098, 19, 380, 127, 2, 7357, 10, 19, 1686, 88265, 1076, 3148, 117856
