Date : 2026-03-12 12:04:43
Directory : c:\Users\jyoti\emergecy
Total : 201 files,  113632 codes, 1076 comments, 3148 blanks, all 117856 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\jyoti\emergecy\backend\app\utils\clustering.py                                                             | Python           |         40 |          5 |          7 |         52 |
| c:\Users\jyoti\emergecy\backend\app\utils\geospatial.py                                                             | Python           |         33 |          6 |         10 |         49 |
| c:\Users\jyoti\emergecy\backend\app\utils\incident_events.py                                                        | Python           |         24 |          1 |          4 |         29 |
| c:\Users\jyoti\emergecy\backend\app\utils\realtime_manager.py                                                       | Python           |         10 |          0 |          5 |         15 |
| c:\Users\jyoti\emergecy\backend\flood_risk_dataset_india.csv                                                        | CSV              |     10,001 |          0 |          1 |     10,002 |
| c:\Users\jyoti\emergecy\backend\ibtracs.NI.list.v04r00.csv                                                          | CSV              |     60,458 |          0 |          1 |     60,459 |
| c:\Users\jyoti\emergecy\backend\migrations\env.py                                                                   | Python           |         34 |         29 |         16 |         79 |
| c:\Users\jyoti\emergecy\backend\ml_models\__init__.py                                                               | Python           |          2 |          0 |          2 |          4 |
| c:\Users\jyoti\emergecy\backend\ml_models\model_loader.py                                                           | Python           |         24 |          7 |         10 |         41 |
| c:\Users\jyoti\emergecy\backend\pytest.ini                                                                          | Ini              |         35 |          0 |          6 |         41 |
| c:\Users\jyoti\emergecy\backend\requirements.txt                                                                    | pip requirements |         19 |          0 |          0 |         19 |
| c:\Users\jyoti\emergecy\backend\scripts\test_load_flood_model.py                                                    | Python           |          8 |          0 |          4 |         12 |
| c:\Users\jyoti\emergecy\backend\scripts\train_cyclone_model.py                                                      | Python           |        113 |         22 |         44 |        179 |
| c:\Users\jyoti\emergecy\backend\scripts\train_earthquake_model.py                                                   | Python           |        124 |         23 |         43 |        190 |
| c:\Users\jyoti\emergecy\backend\scripts\train_flood_model.py                                                        | Python           |         85 |          0 |         19 |        104 |
| c:\Users\jyoti\emergecy\backend\scripts\train_incident_severity_model.py                                            | Python           |         95 |         11 |         26 |        132 |
| c:\Users\jyoti\emergecy\backend\scripts\train_resource_demand_model.py                                              | Python           |         61 |          9 |         24 |         94 |
| c:\Users\jyoti\emergecy\backend\tests\__init__.py                                                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\jyoti\emergecy\backend\tests\conftest.py                                                                   | Python           |        182 |          0 |         75 |        257 |
| c:\Users\jyoti\emergecy\backend\tests\crud\test_emergency_contact_crud.py                                           | Python           |         99 |          7 |         15 |        121 |
| c:\Users\jyoti\emergecy\backend\tests\crud\test_guideline_crud.py                                                   | Python           |        107 |         12 |         18 |        137 |
| c:\Users\jyoti\emergecy\backend\tests\crud\test_incident_crud.py                                                    | Python           |        133 |          9 |         19 |        161 |
| c:\Users\jyoti\emergecy\backend\tests\crud\test_incident_prediction_crud.py                                         | Python           |         92 |          8 |         12 |        112 |
| c:\Users\jyoti\emergecy\backend\tests\crud\test_prediction_crud.py                                                  | Python           |         96 |          8 |         13 |        117 |
| c:\Users\jyoti\emergecy\backend\tests\crud\test_task_crud.py                                                        | Python           |        114 |         10 |         16 |        140 |
| c:\Users\jyoti\emergecy\backend\tests\crud\test_user_crud.py                                                        | Python           |        129 |         10 |         16 |        155 |
| c:\Users\jyoti\emergecy\backend\tests\integration_testing\conftest.py                                               | Python           |         87 |          2 |         31 |        120 |
| c:\Users\jyoti\emergecy\backend\tests\integration_testing\test_integration_api.py                                   | Python           |        114 |         10 |         24 |        148 |
